title,log_budget,popularity,runtime,release_month,release_year,genre_count,log_revenue
Gods of Egypt,18.757152987716434,56.257249,127.0,2.0,2016.0,1,18.83067468141406
Stealth,18.72078534381011,17.88953,121.0,7.0,2005.0,1,18.158444743258723
Watchmen,18.683045016112164,64.798873,163.0,3.0,2009.0,3,19.037265317590727
Lethal Weapon 4,18.757152987716434,24.855701,127.0,7.0,1998.0,5,19.469558536710146
Hulk,18.73549149109167,34.981698,138.0,6.0,2003.0,3,19.318239038153088
G.I. Joe: Retaliation,18.683045016112164,59.325589,110.0,3.0,2013.0,4,19.734071773585985
Sahara,18.683045016112164,21.605568,124.0,4.0,2005.0,5,18.596896087380177
Final Fantasy: The Spirits Within,18.73549149109167,26.074908,106.0,7.0,2001.0,6,18.259711565910393
Captain America: The First Avenger,18.757152987716434,74.506246,124.0,7.0,2011.0,3,19.730552311554884
The World Is Not Enough,18.72078534381011,39.604363,128.0,11.0,1999.0,3,19.70669168191842
Master and Commander: The Far Side of the World,18.826145858727198,36.973031,138.0,11.0,2003.0,1,19.172149246357
The Twilight Saga: Breaking Dawn - Part 2,18.603002309079653,99.687084,115.0,11.0,2012.0,4,20.535730714305842
Happy Feet Two,18.683045016112164,17.7735,100.0,11.0,2011.0,3,18.82885196722581
The Incredible Hulk,18.826145858727198,62.898336,114.0,6.0,2008.0,3,18.91361980260207
The BFG,18.757152987716434,44.19092,120.0,6.0,2016.0,3,19.02688339983347
The Revenant,18.72078534381011,100.635882,156.0,12.0,2015.0,4,20.09393911477868
Turbo,18.72078534381011,44.765377,96.0,7.0,2013.0,2,19.459439282564375
Rango,18.72078534381011,29.91353,107.0,3.0,2011.0,5,19.319721970858033
Penguins of Madagascar,18.6983124881264,84.366984,92.0,11.0,2014.0,4,19.738568030722654
The Bourne Ultimatum,18.064005814299346,45.381501,115.0,8.0,2007.0,4,19.908683271766375
Kung Fu Panda,18.683045016112164,84.689648,90.0,6.0,2008.0,4,20.263995694777233
Ant-Man,18.683045016112164,120.09361,117.0,7.0,2015.0,3,20.06801535110636
The Hunger Games: Catching Fire,18.683045016112164,76.310119,146.0,11.0,2013.0,3,20.557711072195744
Home,18.72078534381011,63.473086,94.0,3.0,2015.0,5,19.725957569074613
War of the Worlds,18.6983124881264,48.572726,116.0,6.0,2005.0,3,20.198576859429263
Bad Boys II,18.683045016112164,38.068736,147.0,7.0,2003.0,5,19.426225378807437
Puss in Boots,18.683045016112164,20.678787,90.0,10.0,2011.0,5,20.134456109294018
Salt,18.5159909328476,48.829437,100.0,7.0,2010.0,3,19.496805656208448
Noah,18.643824303266577,46.115758,139.0,3.0,2014.0,2,19.708914198986903
The Adventures of Tintin,18.683045016112164,89.938296,107.0,10.0,2011.0,3,19.734243302485748
Harry Potter and the Prisoner of Azkaban,18.683045016112164,79.679601,141.0,5.0,2004.0,3,20.487296074083048
